epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,192.274,1.36833,4.121,1.32835,0.002,0.59091,0.14376,0.11153,1.45305,5.43849,1.20877,0.00024,0.00024,0.00024
2,390.419,1.38345,3.06388,1.24691,0.00198,0.3494,0.24258,0.17066,1.60845,5.62647,1.15319,0.0004901,0.0004901,0.0004901
3,582.162,1.30227,2.55152,1.19459,0.00136,0.24242,0.10401,0.07468,1.59953,5.78489,1.28641,0.000729904,0.000729904,0.000729904
4,762.931,1.29539,2.49161,1.21178,0.24701,0.18182,0.14214,0.08399,1.5604,5.76332,1.25795,0.000959412,0.000959412,0.000959412
5,949.165,1.24492,2.21882,1.16429,0.3038,0.03337,0.07047,0.02677,1.55164,5.74171,1.27609,0.00117862,0.00117862,0.00117862
6,1134.1,1.23976,2.1178,1.19298,0.07451,0.07576,0.01677,0.00577,1.84837,5.56108,1.4997,0.00138754,0.00138754,0.00138754
7,1313.72,1.19758,2.02759,1.19489,0.33398,0.16667,0.14929,0.08024,1.55614,5.44389,1.26103,0.00158616,0.00158616,0.00158616
1,58.5549,1.36887,4.12082,1.32839,0.002,0.59091,0.14155,0.11159,1.45607,5.44472,1.20966,0.00024,0.00024,0.00024
2,116.655,1.3938,3.02096,1.26221,0.00199,0.34414,0.21884,0.16291,1.47407,5.60462,1.16812,0.0004901,0.0004901,0.0004901
3,176.096,1.28682,2.55691,1.19223,0.00292,0.86364,0.13619,0.06487,1.61669,5.5098,1.20361,0.000729904,0.000729904,0.000729904
4,231.043,1.31286,2.48697,1.23519,0.51589,0.07576,0.10481,0.0437,1.45791,5.8544,1.21318,0.000959412,0.000959412,0.000959412
5,286.031,1.22294,2.3369,1.14528,0.51604,0.12121,0.1097,0.0632,1.49717,5.76956,1.17163,0.00117862,0.00117862,0.00117862
6,341.675,1.26239,2.17931,1.21369,0.00279,0.24242,0.00286,0.00152,1.40945,7.3311,1.20663,0.00138754,0.00138754,0.00138754
7,397.4,1.19469,2.03735,1.19349,0.00327,0.21212,0.00326,0.00163,1.79163,13.8747,1.35454,0.00158616,0.00158616,0.00158616
1,58.6464,1.36887,4.12082,1.32839,0.002,0.59091,0.14155,0.11159,1.45607,5.44472,1.20966,0.00024,0.00024,0.00024
2,116.184,1.3938,3.02096,1.26221,0.00199,0.34414,0.21884,0.16291,1.47407,5.60462,1.16812,0.0004901,0.0004901,0.0004901
3,172.587,1.28682,2.55691,1.19223,0.00292,0.86364,0.13619,0.06487,1.61669,5.5098,1.20361,0.000729904,0.000729904,0.000729904
4,228.647,1.31286,2.48697,1.23519,0.51589,0.07576,0.10481,0.0437,1.45791,5.8544,1.21318,0.000959412,0.000959412,0.000959412
5,284.258,1.22294,2.3369,1.14528,0.51604,0.12121,0.1097,0.0632,1.49717,5.76956,1.17163,0.00117862,0.00117862,0.00117862
6,341.249,1.26239,2.17931,1.21369,0.00279,0.24242,0.00286,0.00152,1.40945,7.3311,1.20663,0.00138754,0.00138754,0.00138754
7,396.559,1.19469,2.03735,1.19349,0.00327,0.21212,0.00326,0.00163,1.79163,13.8747,1.35454,0.00158616,0.00158616,0.00158616
8,452.905,1.34131,2.17307,1.29844,0.43132,0.22727,0.20885,0.15626,1.87449,6.22715,1.44892,0.0017228,0.0017228,0.0017228
9,509.469,1.27776,1.9022,1.20745,0.21653,0.27273,0.13423,0.07845,1.62497,5.57918,1.26688,0.0016832,0.0016832,0.0016832
10,564.806,1.27266,1.76609,1.20534,0.39083,0.36945,0.29454,0.16993,1.91766,3.91266,1.5169,0.0016436,0.0016436,0.0016436
11,620.232,1.19803,1.71329,1.19857,0.12503,0.22727,0.08127,0.04346,1.60156,5.40734,1.33713,0.001604,0.001604,0.001604
12,675.171,1.35944,2.10543,1.26855,0.03907,0.0303,0.02086,0.01597,1.8813,9.56774,1.41275,0.0015644,0.0015644,0.0015644
13,730.542,1.16726,1.54976,1.1411,0.55134,0.31818,0.33191,0.23175,1.73879,8.66429,1.23714,0.0015248,0.0015248,0.0015248
14,785.207,1.16142,1.49343,1.13399,0.72493,0.43925,0.50803,0.35031,1.52403,3.72695,1.23241,0.0014852,0.0014852,0.0014852
15,840.876,1.12937,1.30355,1.14558,0.84337,0.63636,0.7983,0.51591,1.65224,2.35847,1.27381,0.0014456,0.0014456,0.0014456
16,896.422,1.17449,1.27767,1.15479,0.80478,0.7496,0.86575,0.59758,1.35941,2.09912,1.05739,0.001406,0.001406,0.001406
17,951.713,1.06379,1.2024,1.10443,0.76034,0.81719,0.84403,0.58053,1.53974,2.24633,1.09884,0.0013664,0.0013664,0.0013664
18,1007.05,1.06443,1.20368,1.12032,0.77785,0.77273,0.83706,0.55693,1.25717,1.91897,1.03787,0.0013268,0.0013268,0.0013268
19,1063.05,1.03228,1.08768,1.09014,0.83853,0.54545,0.65958,0.47639,1.32255,3.50156,1.04564,0.0012872,0.0012872,0.0012872
20,1118.11,0.97338,1.02667,1.07983,1,0.60531,0.77799,0.5129,1.68205,1.87996,1.1737,0.0012476,0.0012476,0.0012476
21,1172.82,1.0884,1.21738,1.16179,0.85987,0.68182,0.78549,0.51893,1.36054,1.67965,1.06271,0.001208,0.001208,0.001208
22,1227.92,1.00562,1.05571,1.05784,0.88185,0.56551,0.68315,0.4875,1.48603,1.72101,1.09203,0.0011684,0.0011684,0.0011684
23,1282.39,0.96289,1.02521,1.09237,0.74225,0.5673,0.68087,0.48916,1.19443,1.69688,1.0189,0.0011288,0.0011288,0.0011288
24,1340.76,1.01336,1.03144,1.12694,0.87335,0.73145,0.83502,0.56764,1.336,1.60037,1.04498,0.0010892,0.0010892,0.0010892
25,1398.37,0.94497,0.98354,1.07429,0.88394,0.80785,0.86699,0.61656,1.37742,1.8141,1.04928,0.0010496,0.0010496,0.0010496
26,1455.2,0.89859,0.88599,1.02417,0.92091,0.88211,0.94532,0.69367,1.35161,1.28569,1.0284,0.00101,0.00101,0.00101
27,1511.69,0.89549,0.89336,1.02244,0.95402,0.81818,0.92433,0.68382,1.38937,1.40092,1.03023,0.0009704,0.0009704,0.0009704
28,1568.19,0.88005,0.87672,1.00342,0.87182,0.83333,0.89541,0.65664,1.26894,1.32,0.98626,0.0009308,0.0009308,0.0009308
29,1623.01,0.8991,0.8185,1.03718,0.99854,0.86364,0.94303,0.72374,1.01379,1.02802,0.93469,0.0008912,0.0008912,0.0008912
30,1678.59,0.78361,0.79402,0.99026,0.90809,0.71212,0.80444,0.57704,1.15588,1.39182,1.00418,0.0008516,0.0008516,0.0008516
31,1733.23,0.85738,0.78647,1.02815,1,0.87729,0.94193,0.71331,1.31793,1.2403,1.00432,0.000812,0.000812,0.000812
32,1787.68,0.88638,0.83672,1.03493,0.96,0.93939,0.97389,0.72808,1.0559,0.95253,0.96482,0.0007724,0.0007724,0.0007724
33,1841.89,0.83746,0.75161,0.97481,0.93765,0.95455,0.97578,0.74707,1.23553,1.11148,0.99135,0.0007328,0.0007328,0.0007328
34,1900.73,0.87587,0.86467,1.01014,0.92491,0.93315,0.96758,0.7528,1.19613,1.28192,0.99089,0.0006932,0.0006932,0.0006932
35,1960.58,0.81563,0.7122,1.02415,0.9442,0.89394,0.96604,0.7615,1.2161,1.02419,0.98419,0.0006536,0.0006536,0.0006536
36,2019.12,0.7679,0.69112,0.98665,0.94653,0.92424,0.96736,0.75533,1.18416,0.92059,0.97772,0.000614,0.000614,0.000614
37,2073.61,0.78747,0.71571,0.97513,0.96806,0.91859,0.97581,0.74214,1.06601,0.87672,0.9483,0.0005744,0.0005744,0.0005744
38,2127.96,0.72782,0.66594,0.96671,0.96549,0.92424,0.97781,0.73648,1.22082,0.94939,0.97914,0.0005348,0.0005348,0.0005348
39,2182.57,0.72264,0.64175,0.96318,0.95216,0.90465,0.96949,0.74874,1.25081,0.93871,0.98983,0.0004952,0.0004952,0.0004952
40,2236.93,0.70951,0.65333,0.94295,0.92652,0.90909,0.96039,0.75179,1.23062,0.88469,0.97625,0.0004556,0.0004556,0.0004556
41,2290.99,0.59663,0.56927,0.88695,0.97907,0.92424,0.97335,0.75946,1.26571,0.88132,1.00333,0.000416,0.000416,0.000416
42,2344.48,0.62598,0.5669,0.88116,0.99511,0.90909,0.97401,0.7593,1.2206,0.8721,0.98427,0.0003764,0.0003764,0.0003764
43,2398.72,0.6171,0.55021,0.89057,0.96806,0.91862,0.96241,0.7557,1.15235,0.80275,0.95966,0.0003368,0.0003368,0.0003368
44,2453.14,0.62543,0.53287,0.88548,0.98409,0.93721,0.98458,0.76624,1.02644,0.75282,0.91798,0.0002972,0.0002972,0.0002972
45,2506.99,0.61213,0.51879,0.89718,0.93972,0.98485,0.9858,0.77502,1.07527,0.83059,0.92163,0.0002576,0.0002576,0.0002576
46,2560.81,0.59767,0.53199,0.86615,0.98418,0.94234,0.98673,0.79162,1.14109,0.90671,0.93566,0.000218,0.000218,0.000218
47,2614.97,0.58619,0.51692,0.89558,0.98206,0.95455,0.98759,0.79417,1.10157,0.88945,0.92528,0.0001784,0.0001784,0.0001784
48,2669.33,0.60293,0.58596,0.86144,0.98275,0.95455,0.98612,0.79528,1.01864,0.80689,0.90608,0.0001388,0.0001388,0.0001388
49,2723.66,0.61014,0.57438,0.86453,0.98297,0.95455,0.98526,0.79783,0.99072,0.76877,0.90247,9.92e-05,9.92e-05,9.92e-05
50,2780.89,0.56028,0.49931,0.87765,0.98291,0.95455,0.98508,0.79605,1.02067,0.78073,0.90457,5.96e-05,5.96e-05,5.96e-05
